,NO.,ORDER DATE,DIRECTOR,SITE,STATUS,MAIN DES,COMTOR,DUR(h),TRANS DUR(h),DELIVER BEFORE(h),CONFIRM TIME (h),DEADLINE,WORK DATE,DESIGN IMPORTANT,START WORK,END WORK,FIX DUR,"BREAK/
CONFIRM","WORK
DURATION",LAG,DES NOTES,DES1,DUR1,DES2,DUR2,DES3,DUR3,DES4,DUR4,
1,v1603-0038,3/1/2016,Takeuchi,ouhara-shika.jp/,mail:done,DiepBNH,ManDH,1,0,,,02/03/2016,01/03/2016,,15:00,16:00,,,1,0,,DiepBNH,1,,,,,,,1
1,v1603-0039,3/1/2016,Sawada,fcgate.com/,mail:done,ThanhNLY,ManDH,1,0,13:00,,02/03/2016,02/03/2016,,8:30,9:30,,,1,0,,ThanhNLY,1,,,,,,,1
1,v1603-0040,3/1/2016,Suzuki,dolphin-life-project.co.jp/,mail:done,HuyTV,ManDH,3,0.5,,,02/03/2016,01/03/2016,,14:00,17:00,,,3,0,,HuyTV,3,,,,,,,1
1,v1603-0041,3/1/2016,Sawada,oz-kaatsu.com/,mail:done,DiepBNH,ManDH,1.5,0,14:00,,02/03/2016,02/03/2016,,8:00,9:30,,,1.5,0,,DiepBNH,1.5,,,,,,,1
1,v1603-0042,3/1/2016,Suzuki,englishschool-wing.com/,mail:done,ThanhNLY,ManDH,6,1,,,02/03/2016,02/03/2016,yes,9:30,16:30,,1:00,6,0,42 47 c?ng 1 order http://service.fvn-office.net/fvn/thanhnly/0042/news/,ThanhNLY,6,,,,,,,1
1,v1603-0043,3/1/2016,Asano,kodama-t.co.jp/,mail:done,NhaNTT,ManDH,6,1,,,02/03/2016,02/03/2016,,8:30,15:30,,1:00,6,0,,NhaNTT,6,,,,,,,1
1,v1603-0046,3/1/2016,Tanaka,minami-dental-umeda.com/,mail:done,VuLDN,NguyenLDH,1.5,0.5,,,02/03/2016,02/03/2016,,13:30,15:00,,,1.5,0,,VuLDN,1.5,,,,,,,1
1,v1603-0048,3/1/2016,Ariyoshi,oniwaii4.com/test160224/,mail:done,VuLDN,NguyenLDH,3,0.5,,,02/03/2016,02/03/2016,,14:30,17:30,,,3,0,,VuLDN,3,,,,,,,1
1,v1603-0049,3/1/2016,Ariyoshi,englishschool-wing.com/,mail:done,TramNTH,NguyenLDH,1.5,0.5,,,02/03/2016,02/03/2016,,15:00,16:00,,,1,-0.5,,TramNTH,1.5,,,,,,,1
1,v1603-0050,3/1/2016,Miyagi,familiar-dental.net/,mail:done,BinhNT,ManDH,1,0,15:00,,02/03/2016,02/03/2016,,8:30,9:30,,,1,0,,BinhNT,1,,,,,,,1
1,v1603-0051,3/1/2016,Ariyoshi,tsuda-dental.com/,mail:done,TramNTH,NguyenLDH,1,0.5,,,02/03/2016,02/03/2016,,16:00,16:30,,,0.5,-0.5,,TramNTH,1,,,,,,,1
1,v1603-0052,3/1/2016,Sawada,tokyo-sjcd.com/,mail:done,BinhNT,NguyenLDH,2,0,14:00,,02/03/2016,02/03/2016,,9:30,11:30,,,2,0,,BinhNT,2,,,,,,,1
1,v1603-0060,3/2/2016,Takeuchi,sdc-kids.com/,mail:done,BinhNT,NguyenLDH,2.5,0,,,02/03/2016,02/03/2016,,13:00,15:30,,,2.5,0,http://service.fvn-office.net/fvn/binhnt/60/index.html,BinhNT,2.5,,,,,,,1
1,v1603-0045,3/2/2016,Ishihara,moa-clinic.com/,mail:done,BichVTN,NguyenLDH,2,0.5,,,03/03/2016,02/03/2016,,10:00,12:00,,,2,0,,BichVTN,2,,,,,,,1
1,v1603-0047,3/1/2016,Suzuki,englishschool-wing.com/,mail:done,ThanhNLY,ManDH,6,1,17:30,,03/03/2016,03/03/2016,yes,9:00,16:00,,1:00,6,0,42 47 c?ng 1 order http://service.fvn-office.net/fvn/thanhnly/0042/news/,ThanhNLY,6,,,,,,,1
1,v1603-0053,3/1/2016,Asano,koufukushika.jp/,mail:done,LinhKT,ManDH,5,1,,,03/03/2016,03/03/2016,,8:30,14:30,,1:00,5,0,,LinhKT,5,,,,,,,1
1,v1603-0055,3/2/2016,Inoue,misato-matsuo-dc.com/,mail:done,LinhKT,NguyenLDH,1.5,0.5,13:00,,03/03/2016,02/03/2016,,14:00,15:30,,,1.5,0,,LinhKT,1.5,,,,,,,1
1,v1603-0056,3/2/2016,Inoue,kannaishika.com/,mail:done,TrucTTT,ManDH,2,0.5,13:00,,03/03/2016,02/03/2016,,10:00,12:00,,,2,0,,TrucTTT,2,,,,,,,1
1,v1603-0057,3/2/2016,Ishihara,matsukawa-dental.com,mail:done,DiepBNH,ManDH,1,0.5,,,03/03/2016,02/03/2016,,9:00,10:00,,,1,0,,DiepBNH,1,,,,,,,1
1,v1603-0058,3/2/2016,Kaneko,keurig-dp.jp/,mail:done,BichVTN,NguyenLDH,2,0.5,13:00,,03/03/2016,02/03/2016,,14:00,16:00,,,2,0,,BichVTN,2,,,,,,,1
1,v1603-0059,3/2/2016,Ishihara,matsukawa-kyousei.com/,mail:done,LinhKT,ManDH,1,0.5,,,03/03/2016,02/03/2016,,15:30,16:30,,,1,0,,LinhKT,1,,,,,,,1
1,v1603-0061,3/2/2016,Ishihara,love-shika.jp/,mail:done,DiepBNH,NguyenLDH,1,0.5,16:00,,03/03/2016,02/03/2016,,13:00,14:00,,,1,0,,DiepBNH,1,,,,,,,1
1,v1603-0062,3/2/2016,Nishitani,fc-art.com/,mail:done,VuLDN,ManDH,5,1,,,03/03/2016,03/03/2016,,8:30,14:30,,1:00,5,0,,VuLDN,5,,,,,,,1
14:30:00,v1603-0063,3/2/2016,Yoshioka,kelty-dp.jp/,mail:done,NhaNTT,ManDH,2,0,13:00,,03/03/2016,02/03/2016,,15:30,17:30,,,2,0,,NhaNTT,2,,,,,,,1
1,v1603-0064,3/2/2016,Yoshioka,lesabeillesjapon.jp/,mail:done,NgocTT,ManDH,1,0,12:00,,03/03/2016,03/03/2016,,8:45,9:30,,,0.75,-0.25,,NgocTT,1,,,,,,,1
