Date,??NO,Project Name,Type,Page number,Std. DUR,Real DUR,Work content,Page name,"Team/
Designer",Status,Start work,End work,Break,Note,,,,,,,,,,,,
03/03/2016,100101030101-01W,????????????????????,New,,1,1,under,,HuyTV,done,09:00,10:00,,,,,,,,,,,,,,
07/03/2016,100101030101-01W,????????????????????,Option,,1,1,Join page,,HuyTV,done,13:00,14:00,,,,,,,,,,,,,,
07/03/2016,100101030101-01W,????????????????????,Option,,1,1,Check,,ManhT,done,13:00,14:00,,,,,,,,,,,,,,
07/03/2016,100101030101-01W,????????????????????,Option,,1,3,Fix index,,HuyTV,done,14:00,17:00,,,,,,,,,,,,,,
04/03/2016,100101030101-01W,????????????????????,New,,2,2,Banner,,TramNTH,done,09:30,11:30,,,,,,,,,,,,,,
04/03/2016,100101030101-01W,????????????????????,New,3,6,5,"sub page 12, 13, 14","prevent.html, kids.html, perio.html",TramNTH,done,11:30,17:30,01:00,,,,,,,,,,,,,
07/03/2016,100101030101-01W,????????????????????,New,6,10,8,"sub page 15, 16, 17, 18, 19, 20","implant.html, denture.html, esthe.html, whitening.html, occlusion.html, visit.html",TramNTH,done,08:30,17:30,01:00,,,,,,,,,,,,,
08/03/2016,100101030101-01W,????????????????????,New,6,12,8,"sub page 6, 7, 8, 9, 10, 11","painless.html, precision.html, makeshift.html, sick.html, kids-prevent.html, caries.html",TramNTH,done,08:30,17:30,01:00,,,,,,,,,,,,,
03/03/2016,100101030101-01W,????????????????????,New,6,8,5,"sub page 2, 3, 4,5","clinic/access.html, menu.html, staff.html,  flow.html",HuyTV,done,10:00,16:00,01:00,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,
,100100928134-01W,?????????????,Plan,20,58,84.5,"set kijikaku, overnotes",,1.team Dat,,,,,,,,,,,,,,,,,
08/03/2016,100100928134-01W,?????????????,New,1,6,5,index,,TrucPTT,done,11:00,17:00,1:00,,,,,,,,,,,,,
09/03/2016,100100928134-01W,?????????????,New,-,-,10,index,,TrucPTT,done,08:30,19:30,1:00,,,,,,,,,,,,,
10/03/2016,100100928134-01W,?????????????,New,-,-,3.5,index,,TrucPTT,done,08:30,12:00,,,,,,,,,,,,,,
10/03/2016,100100928134-01W,?????????????,New,-,2,2,code layout sub page,,TrucPTT,done,13:00,15:00,,,,,,,,,,,,,,
08/03/2016,100100928134-01W,?????????????,New,-,2,2.5,code common parts ,,TrucPTT,done,08:30,11:00,,,,,,,,,,,,,,
11/03/2016,100100928134-01W,?????????????,Option,-,4,4,set js (main image),,DatNVT,done,08:30,13:30,1:00,,,,,,,,,,,,,
11/03/2016,100100928134-01W,?????????????,Option,-,3,3.5,set kijkaku,,TrucPTT,done,08:30,12:00,,,,,,,,,,,,,,
11/03/2016,100100928134-01W,?????????????,Option,-,3,3.5,set overnote,,TrucPTT,done,13:00,16:30,,,,,,,,,,,,,,
11/03/2016,100100928134-01W,?????????????,New,-,-,2,Join page,,TrucPTT,done,16:30,18:30,,,,,,,,,,,,,,
12/03/2016,100100928134-01W,?????????????,New,-,-,1.5,Check,,TrucPTT,done,08:30,10:00,,,,,,,,,,,,,,
11/03/2016,100100928134-01W,?????????????,New,-,-,1.5,Fix,,TrucPTT,done,18:30,20:00,,,,,,,,,,,,,,
12/03/2016,100100928134-01W,?????????????,New,-,-,1,Fix,,TrucPTT,done,10:00,11:00,,,,,,,,,,,,,,
14/03/2016,100100928134-01W,?????????????,New,-,-,1.5,Fix,index.html,TrucPTT,done,08:30,10:00,,,,,,,,,,,,,,
09/03/2016,100100928134-01W,?????????????,New,-,-,3.5,sub page,,ThuyTTN,done,08:30,12:00,,design 42 banner,,,,,,,,,,,,
10/03/2016,100100928134-01W,?????????????,New,4,8,8.5,"sub page 14, 18, 19, 20","product/index.html, product/pamphlet.html, contact/index.cgi, company/index.html",ThuyTTN,done,11:00,20:30,1:00,,,,,,,,,,,,,
11/03/2016,100100928134-01W,?????????????,New,-,-,2,sub page,,ThuyTTN,done,08:30,10:30,,design illust ( reason/index.html),,,,,,,,,,,,
09/03/2016,100100928134-01W,?????????????,New,3,6,4,"sub page 2,3,4","electrical-construction/index.html, electrical-construction/jwcad.html, electrical-construction/estimation.html ",LamNTP,done,15:30,19:30,,,,,,,,,,,,,,
10/03/2016,100100928134-01W,?????????????,New,6,12,11,"sub page 5,8,9,10,11,12","electrical-construction/discontent.html, product/faq.html, reason/index.html, reason/comparison.html, reason/difference.html, reason/function.html",LamNTP,done,08:30,20:30,1:00,,,,,,,,,,,,,
11/03/2016,100100928134-01W,?????????????,New,4,8,8,"sub page 13,15,16,17","reason/support.html, product/flow.html, useful/application.html, useful/download.html  ",LamNTP,done,08:30,17:30,1:00,,,,,,,,,,,,,
10/03/2016,100100928134-01W,?????????????,New,2,4,6,"sub page 6,7, kijkaku","layout overnote, kijkaku",TrucPTT,done,15:00,21:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,100101067301-01W,,Plan,15,52,31.5,"overnote, fmail, kijikaku",,2.team Manh,,,,,,,,,,,,,,,,,
09/03/2016,100101067301-01W,SOTEX?,New,,9,2.5,index + js,,HuyTV,done,17:30,20:00,,,,,,,,,,,,,,
10/03/2016,100101067301-01W,SOTEX?,New,,,6.5,index,,HuyTV,done,10:00,17:30,01:00,,,,,,,,,,,,,
10/03/2016,100101067301-01W,SOTEX?,New,,2,1,under,,HuyTV,done,08:30,09:30,,,,,,,,,,,,,,
11/03/2016,100101067301-01W,SOTEX?,Option,,2,1,Join page,,HuyTV,done,13:00,14:00,,,,,,,,,,,,,,
10/03/2016,100101067301-01W,SOTEX?,Option,,3,3,overnotes,,VuLDN,done,10:30,14:30,01:00,,,,,,,,,,,,,
10/03/2016,100101067301-01W,SOTEX?,Option,,2,1.5,Check,,ManhT,done,10:30,12:00,,,,,,,,,,,,,,
09/03/2016,100101067301-01W,SOTEX?,Option,,2,0.5,Fix index,,HuyTV,done,17:00,17:30,,,,,,,,,,,,,,
11/03/2016,100101067301-01W,SOTEX?,Option,,2,1,Fix sub pages,,TramNTH,done,19:00,20:00,,,,,,,,,,,,,,
10/03/2016,100101067301-01W,SOTEX?,New,,2,1.5,Banner,,TramNTH,done,08:30,10:00,,,,,,,,,,,,,,
10/03/2016,100101067301-01W,SOTEX?,New,6,12,6.5,"sub page 6, 7, 8, 11, 12, 14","integrated.html, other.html, service/index.html, faq/index.html, company/index.html, vision.html ",TramNTH,done,10:00,17:30,01:00,,,,,,,,,,,,,
